  100000000      1.1             # run and version numbers

 Panel   H/V Layer Tube      x1      x2      y1      y2
 0     1     1       56  206.90  206.90 -256.71  244.29
 0     1     1       57  215.30  215.30 -256.71  244.29
 0     1     1       58  223.70  223.70 -256.71  244.29
 0     1     1       59  232.10  232.10 -256.71  244.29
 0     1     1       60  240.50  240.50 -256.71  244.29
 0     1     1       61  248.90  248.90 -256.71  244.29
 0     1     1       62  257.30  257.30 -256.71  244.29
 0     1     1       63  265.70  265.70 -256.71  244.29

 Panel   H/V Layer Tube      x1      x2      y1      y2
 ----- ----- ----- ---- ------- ------- ------- -------
 1     0     0        0 -120.23  130.17 -202.67 -202.67
 1     0     0        1 -120.23  130.17 -194.27 -194.27
 1     0     0        2 -120.23  130.17 -185.87 -185.87
 1     0     0        3 -120.23  130.17 -177.47 -177.47
 1     0     0        4 -120.23  130.17 -169.07 -169.07
 1     0     0        5 -120.23  130.17 -160.67 -160.67
 1     0     0        6 -120.23  130.17 -152.27 -152.27
 1     0     0        7 -120.23  130.17 -143.87 -143.87
 1     0     0        8 -120.23  130.17 -135.47 -135.47
 1     0     0        9 -120.23  130.17 -127.07 -127.07
 1     0     0       10 -120.23  130.17 -118.67 -118.67
 1     0     0       11 -120.23  130.17 -110.27 -110.27
 1     0     0       12 -120.23  130.17 -101.87 -101.87
 1     0     0       13 -120.23  130.17  -93.47  -93.47
 1     0     0       14 -120.23  130.17  -85.07  -85.07
 1     0     0       15 -120.23  130.17  -76.67  -76.67
 1     0     0       16 -120.23  130.17  -68.27  -68.27
 1     0     0       17 -120.23  130.17  -59.87  -59.87
 1     0     0       18 -120.23  130.17  -51.47  -51.47
 1     0     0       19 -120.23  130.17  -43.07  -43.07
 1     0     0       20 -120.23  130.17  -34.67  -34.67
 1     0     0       21 -120.23  130.17  -26.27  -26.27
 1     0     0       22 -120.23  130.17  -17.87  -17.87
 1     0     0       23 -120.23  130.17   -9.47   -9.47
 1     0     0       24 -120.23  130.17   -1.07   -1.07
 1     0     0       25 -120.23  130.17    7.33    7.33
 1     0     0       26 -120.23  130.17   15.73   15.73
 1     0     0       27 -120.23  130.17   24.13   24.13
 1     0     0       28 -120.23  130.17   32.53   32.53
 1     0     0       29 -120.23  130.17   40.93   40.93
 1     0     0       30 -120.23  130.17   49.33   49.33
 1     0     0       31 -120.23  130.17   57.73   57.73
 1     0     0       32 -120.23  130.17   66.13   66.13
 1     0     0       33 -120.23  130.17   74.53   74.53
 1     0     0       34 -120.23  130.17   82.93   82.93
 1     0     0       35 -120.23  130.17   91.33   91.33
 1     0     0       36 -120.23  130.17   99.73   99.73
 1     0     0       37 -120.23  130.17  108.13  108.13
 1     0     0       38 -120.23  130.17  116.53  116.53
 1     0     0       39 -120.23  130.17  124.93  124.93
 1     0     0       40 -120.23  130.17  133.33  133.33
 1     0     0       41 -120.23  130.17  141.73  141.73
 1     0     0       42 -120.23  130.17  150.13  150.13
 1     0     0       43 -120.23  130.17  158.53  158.53
 1     0     0       44 -120.23  130.17  166.93  166.93
 1     0     1        0 -120.23  130.17 -202.17 -202.17
 1     0     1        1 -120.23  130.17 -193.77 -193.77
 1     0     1        2 -120.23  130.17 -185.37 -185.37
 1     0     1        3 -120.23  130.17 -176.97 -176.97
 1     0     1        4 -120.23  130.17 -168.57 -168.57
 1     0     1        5 -120.23  130.17 -160.17 -160.17
 1     0     1        6 -120.23  130.17 -151.77 -151.77
 1     0     1        7 -120.23  130.17 -143.37 -143.37
 1     0     1        8 -120.23  130.17 -134.97 -134.97
 1     0     1        9 -120.23  130.17 -126.57 -126.57
 1     0     1       10 -120.23  130.17 -118.17 -118.17
 1     0     1       11 -120.23  130.17 -109.77 -109.77
 1     0     1       12 -120.23  130.17 -101.37 -101.37
 1     0     1       13 -120.23  130.17  -92.97  -92.97
 1     0     1       14 -120.23  130.17  -84.57  -84.57
 1     0     1       15 -120.23  130.17  -76.17  -76.17
 1     0     1       16 -120.23  130.17  -67.77  -67.77
 1     0     1       17 -120.23  130.17  -59.37  -59.37
 1     0     1       18 -120.23  130.17  -50.97  -50.97
 1     0     1       19 -120.23  130.17  -42.57  -42.57
 1     0     1       20 -120.23  130.17  -34.17  -34.17
 1     0     1       21 -120.23  130.17  -25.77  -25.77
 1     0     1       22 -120.23  130.17  -17.37  -17.37
 1     0     1       23 -120.23  130.17   -8.97   -8.97
 1     0     1       24 -120.23  130.17   -0.57   -0.57
 1     0     1       25 -120.23  130.17    7.83    7.83
 1     0     1       26 -120.23  130.17   16.23   16.23
 1     0     1       27 -120.23  130.17   24.63   24.63
 1     0     1       28 -120.23  130.17   33.03   33.03
 1     0     1       29 -120.23  130.17   41.43   41.43
 1     0     1       30 -120.23  130.17   49.83   49.83
 1     0     1       31 -120.23  130.17   58.23   58.23
 1     0     1       32 -120.23  130.17   66.63   66.63
 1     0     1       33 -120.23  130.17   75.03   75.03
 1     0     1       34 -120.23  130.17   83.43   83.43
 1     0     1       35 -120.23  130.17   91.83   91.83
 1     0     1       36 -120.23  130.17  100.23  100.23
 1     0     1       37 -120.23  130.17  108.63  108.63
 1     0     1       38 -120.23  130.17  117.03  117.03
 1     0     1       39 -120.23  130.17  125.43  125.43
 1     0     1       40 -120.23  130.17  133.83  133.83
 1     0     1       41 -120.23  130.17  142.23  142.23
 1     0     1       42 -120.23  130.17  150.63  150.63
 1     0     1       43 -120.23  130.17  159.03  159.03
 1     0     1       44 -120.23  130.17  167.43  167.43
 1     1     0        0 -100.53 -100.53 -206.07  175.93
 1     1     0        1  -92.13  -92.13 -206.07  175.93
 1     1     0        2  -83.73  -83.73 -206.07  175.93
 1     1     0        3  -75.33  -75.33 -206.07  175.93
 1     1     0        4  -66.93  -66.93 -206.07  175.93
 1     1     0        5  -58.53  -58.53 -206.07  175.93
 1     1     0        6  -50.13  -50.13 -206.07  175.93
 1     1     0        7  -41.73  -41.73 -206.07  175.93
 1     1     0        8  -33.33  -33.33 -206.07  175.93
 1     1     0        9  -24.93  -24.93 -206.07  175.93
 1     1     0       10  -16.53  -16.53 -206.07  175.93
 1     1     0       11   -8.13   -8.13 -206.07  175.93
 1     1     0       12    0.27    0.27 -206.07  175.93
 1     1     0       13    8.67    8.67 -206.07  175.93
 1     1     0       14   17.07   17.07 -206.07  175.93
 1     1     0       15   25.47   25.47 -206.07  175.93
 1     1     0       16   33.87   33.87 -206.07  175.93
 1     1     0       17   42.27   42.27 -206.07  175.93
 1     1     0       18   50.67   50.67 -206.07  175.93
 1     1     0       19   59.07   59.07 -206.07  175.93
 1     1     0       20   67.47   67.47 -206.07  175.93
 1     1     0       21   75.87   75.87 -206.07  175.93
 1     1     0       22   84.27   84.27 -206.07  175.93
 1     1     0       23   92.67   92.67 -206.07  175.93
 1     1     0       24  101.07  101.07 -206.07  175.93
 1     1     0       25  109.47  109.47 -206.07  175.93
 1     1     1        0 -100.03 -100.03 -206.07  175.93
 1     1     1        1  -91.63  -91.63 -206.07  175.93
 1     1     1        2  -83.23  -83.23 -206.07  175.93
 1     1     1        3  -74.83  -74.83 -206.07  175.93
 1     1     1        4  -66.43  -66.43 -206.07  175.93
 1     1     1        5  -58.03  -58.03 -206.07  175.93
 1     1     1        6  -49.63  -49.63 -206.07  175.93
 1     1     1        7  -41.23  -41.23 -206.07  175.93
 1     1     1        8  -32.83  -32.83 -206.07  175.93
 1     1     1        9  -24.43  -24.43 -206.07  175.93
 1     1     1       10  -16.03  -16.03 -206.07  175.93
 1     1     1       11   -7.63   -7.63 -206.07  175.93
 1     1     1       12    0.77    0.77 -206.07  175.93
 1     1     1       13    9.17    9.17 -206.07  175.93
 1     1     1       14   17.57   17.57 -206.07  175.93
 1     1     1       15   25.97   25.97 -206.07  175.93
 1     1     1       16   34.37   34.37 -206.07  175.93
 1     1     1       17   42.77   42.77 -206.07  175.93
 1     1     1       18   51.17   51.17 -206.07  175.93
 1     1     1       19   59.57   59.57 -206.07  175.93
 1     1     1       20   67.97   67.97 -206.07  175.93
 1     1     1       21   76.37   76.37 -206.07  175.93
 1     1     1       22   84.77   84.77 -206.07  175.93
 1     1     1       23   93.17   93.17 -206.07  175.93
 1     1     1       24  101.57  101.57 -206.07  175.93
 1     1     1       25  109.97  109.97 -206.07  175.93

 Panel   H/V Layer Tube      x1      x2      y1      y2
 ----- ----- ----- ---- ------- ------- ------- -------
 2     0     0        0 -255.11  264.89 -253.01 -253.01
 2     0     0        1 -255.11  264.89 -244.61 -244.61
 2     0     0        2 -255.11  264.89 -236.21 -236.21
 2     0     0        3 -255.11  264.89 -227.81 -227.81
 2     0     0        4 -255.11  264.89 -219.41 -219.41
 2     0     0        5 -255.11  264.89 -211.01 -211.01
 2     0     0        6 -255.11  264.89 -202.61 -202.61
 2     0     0        7 -255.11  264.89 -194.21 -194.21
 2     0     0        8 -255.11  264.89 -185.81 -185.81
 2     0     0        9 -255.11  264.89 -177.41 -177.41
 2     0     0       10 -255.11  264.89 -169.01 -169.01
 2     0     0       11 -255.11  264.89 -160.61 -160.61
 2     0     0       12 -255.11  264.89 -152.21 -152.21
 2     0     0       13 -255.11  264.89 -143.81 -143.81
 2     0     0       14 -255.11  264.89 -135.41 -135.41
 2     0     0       15 -255.11  264.89 -127.01 -127.01
 2     0     0       16 -255.11  264.89 -118.61 -118.61
 2     0     0       17 -255.11  264.89 -110.21 -110.21
 2     0     0       18 -255.11  264.89 -101.81 -101.81
 2     0     0       19 -255.11  264.89  -93.41  -93.41
 2     0     0       20 -255.11  264.89  -85.01  -85.01
 2     0     0       21 -255.11  264.89  -76.61  -76.61
 2     0     0       22 -255.11  264.89  -68.21  -68.21
 2     0     0       23 -255.11  264.89  -59.81  -59.81
 2     0     0       24 -255.11  264.89  -51.41  -51.41
 2     0     0       25 -255.11  264.89  -43.01  -43.01
 2     0     0       26 -255.11  264.89  -34.61  -34.61
 2     0     0       27 -255.11  264.89  -26.21  -26.21
 2     0     0       28 -255.11  264.89  -17.81  -17.81
 2     0     0       29 -255.11  264.89   -9.41   -9.41
 2     0     0       30 -255.11  264.89   -1.01   -1.01
 2     0     0       31 -255.11  264.89    7.39    7.39
 2     0     0       32 -255.11  264.89   15.79   15.79
 2     0     0       33 -255.11  264.89   24.19   24.19
 2     0     0       34 -255.11  264.89   32.59   32.59
 2     0     0       35 -255.11  264.89   40.99   40.99
 2     0     0       36 -255.11  264.89   49.39   49.39
 2     0     0       37 -255.11  264.89   57.79   57.79
 2     0     0       38 -255.11  264.89   66.19   66.19
 2     0     0       39 -255.11  264.89   74.59   74.59
 2     0     0       40 -255.11  264.89   82.99   82.99
 2     0     0       41 -255.11  264.89   91.39   91.39
 2     0     0       42 -255.11  264.89   99.79   99.79
 2     0     0       43 -255.11  264.89  108.19  108.19
 2     0     0       44 -255.11  264.89  116.59  116.59
 2     0     0       45 -255.11  264.89  124.99  124.99
 2     0     0       46 -255.11  264.89  133.39  133.39
 2     0     0       47 -255.11  264.89  141.79  141.79
 2     0     0       48 -255.11  264.89  150.19  150.19
 2     0     0       49 -255.11  264.89  158.59  158.59
 2     0     0       50 -255.11  264.89  166.99  166.99
 2     0     0       51 -255.11  264.89  175.39  175.39
 2     0     0       52 -255.11  264.89  183.79  183.79
 2     0     0       53 -255.11  264.89  192.19  192.19
 2     0     0       54 -255.11  264.89  200.59  200.59
 2     0     0       55 -255.11  264.89  208.99  208.99
 2     0     0       56 -255.11  264.89  217.39  217.39
 2     0     0       57 -255.11  264.89  225.79  225.79
 2     0     0       58 -255.11  264.89  234.19  234.19
 2     0     1        0 -255.11  264.89 -252.51 -252.51
 2     0     1        1 -255.11  264.89 -244.11 -244.11
 2     0     1        2 -255.11  264.89 -235.71 -235.71
 2     0     1        3 -255.11  264.89 -227.31 -227.31
 2     0     1        4 -255.11  264.89 -218.91 -218.91
 2     0     1        5 -255.11  264.89 -210.51 -210.51
 2     0     1        6 -255.11  264.89 -202.11 -202.11
 2     0     1        7 -255.11  264.89 -193.71 -193.71
 2     0     1        8 -255.11  264.89 -185.31 -185.31
 2     0     1        9 -255.11  264.89 -176.91 -176.91
 2     0     1       10 -255.11  264.89 -168.51 -168.51
 2     0     1       11 -255.11  264.89 -160.11 -160.11
 2     0     1       12 -255.11  264.89 -151.71 -151.71
 2     0     1       13 -255.11  264.89 -143.31 -143.31
 2     0     1       14 -255.11  264.89 -134.91 -134.91
 2     0     1       15 -255.11  264.89 -126.51 -126.51
 2     0     1       16 -255.11  264.89 -118.11 -118.11
 2     0     1       17 -255.11  264.89 -109.71 -109.71
 2     0     1       18 -255.11  264.89 -101.31 -101.31
 2     0     1       19 -255.11  264.89  -92.91  -92.91
 2     0     1       20 -255.11  264.89  -84.51  -84.51
 2     0     1       21 -255.11  264.89  -76.11  -76.11
 2     0     1       22 -255.11  264.89  -67.71  -67.71
 2     0     1       23 -255.11  264.89  -59.31  -59.31
 2     0     1       24 -255.11  264.89  -50.91  -50.91
 2     0     1       25 -255.11  264.89  -42.51  -42.51
 2     0     1       26 -255.11  264.89  -34.11  -34.11
 2     0     1       27 -255.11  264.89  -25.71  -25.71
 2     0     1       28 -255.11  264.89  -17.31  -17.31
