#
# This file is made from pedestal file determined by Tony
# from RUN7705. I added constant gain values (80,30) so that
# this can be used as the base calibration of RICH.
#
# Name (bankID=1)
ADC
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
ADC pedestal from RUN7705. PE=80, PEW=30 for all live channels.
# calibration data. 5120 entries
# status PMT Ped PedW PE PEW Nped N1 N2 N3 chisqr
SM 149 -1.87196 4.09511 80 30 922.013 0 0 0 24.4961
SM 150 -1.9869 3.76172 80 30 1002.94 0 0 0 26.1613
SM 151 -1.59698 3.64412 80 30 1041.43 0 0 0 13.4936
SM 152 -1.80977 3.53887 80 30 1070.19 0 0 0 16.6113
SM 153 -1.90762 3.22018 80 30 1171.54 0 0 0 19.258
SM 154 -1.80507 3.13046 80 30 1206.17 0 0 0 17.2709
SM 155 -1.86015 3.08263 80 30 1226.97 0 0 0 18.5325
SM 156 -1.87484 2.96847 80 30 1279.69 0 0 0 8.00605
SM 157 -1.58708 3.06397 80 30 1236.45 0 0 0 14.8068
SM 158 -1.75177 3.30565 80 30 1143.82 0 0 0 14.5753
SM 159 -1.88977 3.4188 80 30 1110.32 0 0 0 10.3379
SM 160 -1.41545 5.74408 80 30 660.111 0 0 0 15.8716
SM 161 -0.795602 3.69676 80 30 1017.69 0 0 0 33.6782
SM 162 -1.44803 3.45887 80 30 1071.58 0 0 0 62.3639
SM 163 -1.37881 3.25141 80 30 1155.52 0 0 0 30.6171
SM 164 -1.13363 3.2713 80 30 1140.04 0 0 0 47.0165
SM 165 -1.17468 3.0453 80 30 1214.01 0 0 0 67.2526
SM 166 -1.23527 3.08953 80 30 1211.08 0 0 0 44.6082
SM 167 -1.43978 3.00236 80 30 1249.56 0 0 0 40.8862
SM 168 -1.06484 2.91817 80 30 1288.79 0 0 0 30.2272
SM 169 -1.50716 2.84233 80 30 1312.12 0 0 0 44.8856
SM 170 -1.30477 2.80687 80 30 1348.71 0 0 0 18.5814
SM 171 -1.16522 2.79831 80 30 1330.59 0 0 0 50.8825
SM 172 -1.38139 2.89049 80 30 1299.98 0 0 0 29.2563
SM 173 -1.42956 2.81175 80 30 1346.32 0 0 0 21.4433
SM 174 -1.13004 2.90106 80 30 1304.37 0 0 0 18.9569
SM 175 -8.41131 3.16565 80 30 1191.2 0 0 0 31.2676
SM 176 -0.140271 1.5771 80 30 2411.19 0 0 0 2.99999
SM 177 -0.62842 2.27177 80 30 1667.99 0 0 0 5.36261
SM 178 -0.649612 2.24374 80 30 1684.66 0 0 0 8.70482
SM 179 -0.696937 2.21457 80 30 1704.53 0 0 0 5.90107
SM 180 -0.640997 2.15888 80 30 1743.13 0 0 0 7.71845
SM 181 -0.200228 2.21198 80 30 1719.24 0 0 0 6.81407
SM 182 -0.427301 2.12076 80 30 1777.04 0 0 0 6.02865
SM 183 -0.427528 2.25361 80 30 1682.05 0 0 0 9.60465
