# Name (bankID=1)
T0
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
Default values of T0
# calibration data. 5120 entries
# status PMT T0
OK 803 100 
OK 804 100 
OK 805 100 
OK 806 100 
OK 807 100 
OK 808 100 
OK 809 100 
OK 810 100 
OK 811 100 
OK 812 100 
OK 813 100 
OK 814 100 
OK 815 100 
OK 816 100 
OK 817 100 
OK 818 100 
OK 819 100 
OK 820 100 
OK 821 100 
OK 822 100 
OK 823 100 
OK 824 100 
OK 825 100 
OK 826 100 
OK 827 100 
OK 828 100 
OK 829 100 
OK 830 100 
OK 831 100 
OK 832 100 
OK 833 100 
OK 834 100 
OK 835 100 
OK 836 100 
OK 837 100 
OK 838 100 
OK 839 100 
OK 840 100 
OK 841 100 
OK 842 100 
OK 843 100 
OK 844 100 
OK 845 100 
OK 846 100 
OK 847 100 
OK 848 100 
OK 849 100 
OK 850 100 
OK 851 100 
OK 852 100 
OK 853 100 
OK 854 100 
OK 855 100 
OK 856 100 
OK 857 100 
OK 858 100 
OK 859 100 
OK 860 100 
OK 861 100 
OK 862 100 
OK 863 100 
OK 864 100 
OK 865 100 
OK 866 100 
OK 867 100 
OK 868 100 
OK 869 100 
OK 870 100 
OK 871 100 
OK 872 100 
OK 873 100 
OK 874 100 
OK 875 100 
OK 876 100 
OK 877 100 
OK 878 100 
OK 879 100 
OK 880 100 
OK 881 100 
OK 882 100 
OK 883 100 
OK 884 100 
OK 885 100 
OK 886 100 
OK 887 100 
OK 888 100 
OK 889 100 
OK 890 100 
OK 891 100 
OK 892 100 
OK 893 100 
OK 894 100 
OK 895 100 
OK 896 100 
OK 897 100 
OK 898 100 
OK 899 100 
OK 900 100 
OK 901 100 
OK 902 100 
OK 903 100 
OK 904 100 
OK 905 100 
OK 906 100 
OK 907 100 
OK 908 100 
OK 909 100 
OK 910 100 
OK 911 100 
OK 912 100 
OK 913 100 
OK 914 100 
OK 915 100 
OK 916 100 
OK 917 100 
OK 918 100 
OK 919 100 
OK 920 100 
OK 921 100 
OK 922 100 
OK 923 100 
OK 924 100 
OK 925 100 
OK 926 100 
OK 927 100 
OK 928 100 
OK 929 100 
OK 930 100 
OK 931 100 
OK 932 100 
OK 933 100 
OK 934 100 
OK 935 100 
OK 936 100 
OK 937 100 
OK 938 100 
OK 939 100 
OK 940 100 
OK 941 100 
OK 942 100 
OK 943 100 
OK 944 100 
OK 945 100 
OK 946 100 
OK 947 100 
OK 948 100 
OK 949 100 
OK 950 100 
OK 951 100 
OK 952 100 
OK 953 100 
OK 954 100 
OK 955 100 
OK 956 100 
OK 957 100 
OK 958 100 
OK 959 100 
OK 960 100 
OK 961 100 
OK 962 100 
OK 963 100 
OK 964 100 
OK 965 100 
OK 966 100 
OK 967 100 
OK 968 100 
OK 969 100 
OK 970 100 
OK 971 100 
OK 972 100 
OK 973 100 
OK 974 100 
OK 975 100 
OK 976 100 
OK 977 100 
OK 978 100 
OK 979 100 
OK 980 100 
OK 981 100 
OK 982 100 
OK 983 100 
OK 984 100 
OK 985 100 
OK 986 100 
OK 987 100 
OK 988 100 
OK 989 100 
OK 990 100 
OK 991 100 
OK 992 100 
OK 993 100 
OK 994 100 
OK 995 100 
OK 996 100 
OK 997 100 
OK 998 100 
OK 999 100 
OK 1000 100 
OK 1001 100 
OK 1002 100 
OK 1003 100 
OK 1004 100 
OK 1005 100 
OK 1006 100 
OK 1007 100 
OK 1008 100 
OK 1009 100 
OK 1010 100 
OK 1011 100 
OK 1012 100 
OK 1013 100 
OK 1014 100 
OK 1015 100 
OK 1016 100 
OK 1017 100 
OK 1018 100 
OK 1019 100 
OK 1020 100 
OK 1021 100 
OK 1022 100 
OK 1023 100 
OK 1024 100 
OK 1025 100 
OK 1026 100 
OK 1027 100 
OK 1028 100 
OK 1029 100 
OK 1030 100 
OK 1031 100 
OK 1032 100 
OK 1033 100 
OK 1034 100 
OK 1035 100 
OK 1036 100 
OK 1037 100 
OK 1038 100 
OK 1039 100 
OK 1040 100 
OK 1041 100 
OK 1042 100 
OK 1043 100 
OK 1044 100 
OK 1045 100 
OK 1046 100 
OK 1047 100 
OK 1048 100 
OK 1049 100 
OK 1050 100 
OK 1051 100 
OK 1052 100 
OK 1053 100 
OK 1054 100 
OK 1055 100 
OK 1056 100 
OK 1057 100 
OK 1058 100 
OK 1059 100 
OK 1060 100 
OK 1061 100 
OK 1062 100 
OK 1063 100 
OK 1064 100 
OK 1065 100 
OK 1066 100 
OK 1067 100 
OK 1068 100 
OK 1069 100 
OK 1070 100 
OK 1071 100 
OK 1072 100 
OK 1073 100 
OK 1074 100 
OK 1075 100 
OK 1076 100 
OK 1077 100 
OK 1078 100 
OK 1079 100 
OK 1080 100 
OK 1081 100 
OK 1082 100 
OK 1083 100 
OK 1084 100 
OK 1085 100 
OK 1086 100 
OK 1087 100 
OK 1088 100 
OK 1089 100 
OK 1090 100 
OK 1091 100 
OK 1092 100 
OK 1093 100 
OK 1094 100 
OK 1095 100 
OK 1096 100 
OK 1097 100 
OK 1098 100 
OK 1099 100 
OK 1100 100 
OK 1101 100 
OK 1102 100 
OK 1103 100 
OK 1104 100 
OK 1105 100 
OK 1106 100 
OK 1107 100 
OK 1108 100 
OK 1109 100 
OK 1110 100 
OK 1111 100 
OK 1112 100 
OK 1113 100 
OK 1114 100 
OK 1115 100 
OK 1116 100 
OK 1117 100 
OK 1118 100 
OK 1119 100 
OK 1120 100 
OK 1121 100 
OK 1122 100 
OK 1123 100 
OK 1124 100 
OK 1125 100 
OK 1126 100 
OK 1127 100 
OK 1128 100 
OK 1129 100 
OK 1130 100 
OK 1131 100 
OK 1132 100 
OK 1133 100 
OK 1134 100 
OK 1135 100 
OK 1136 100 
OK 1137 100 
OK 1138 100 
OK 1139 100 
OK 1140 100 
OK 1141 100 
OK 1142 100 
OK 1143 100 
OK 1144 100 
OK 1145 100 
OK 1146 100 
OK 1147 100 
OK 1148 100 
OK 1149 100 
OK 1150 100 
OK 1151 100 
OK 1152 100 
OK 1153 100 
OK 1154 100 
OK 1155 100 
OK 1156 100 
OK 1157 100 
OK 1158 100 
OK 1159 100 
OK 1160 100 
OK 1161 100 
OK 1162 100 
OK 1163 100 
OK 1164 100 
OK 1165 100 
OK 1166 100 
OK 1167 100 
OK 1168 100 
OK 1169 100 
OK 1170 100 
OK 1171 100 
OK 1172 100 
OK 1173 100 
OK 1174 100 
OK 1175 100 
OK 1176 100 
OK 1177 100 
OK 1178 100 
OK 1179 100 
OK 1180 100 
OK 1181 100 
OK 1182 100 
OK 1183 100 
OK 1184 100 
OK 1185 100 
OK 1186 100 
OK 1187 100 
OK 1188 100 
OK 1189 100 
OK 1190 100 
OK 1191 100 
OK 1192 100 
OK 1193 100 
OK 1194 100 
OK 1195 100 
OK 1196 100 
OK 1197 100 
OK 1198 100 
OK 1199 100 
OK 1200 100 
OK 1201 100 
OK 1202 100 
OK 1203 100 
OK 1204 100 
OK 1205 100 
OK 1206 100 
OK 1207 100 
OK 1208 100 
OK 1209 100 
OK 1210 100 
OK 1211 100 
OK 1212 100 
OK 1213 100 
OK 1214 100 
OK 1215 100 
OK 1216 100 
OK 1217 100 
OK 1218 100 
OK 1219 100 
OK 1220 100 
OK 1221 100 
OK 1222 100 
OK 1223 100 
OK 1224 100 
OK 1225 100 
OK 1226 100 
OK 1227 100 
OK 1228 100 
OK 1229 100 
OK 1230 100 
OK 1231 100 
OK 1232 100 
OK 1233 100 
OK 1234 100 
OK 1235 100 
OK 1236 100 
OK 1237 100 
OK 1238 100 
OK 1239 100 
OK 1240 100 
OK 1241 100 
OK 1242 100 
OK 1243 100 
OK 1244 100 
OK 1245 100 
OK 1246 100 
OK 1247 100 
OK 1248 100 
OK 1249 100 
OK 1250 100 
OK 1251 100 
OK 1252 100 
OK 1253 100 
OK 1254 100 
OK 1255 100 
OK 1256 100 
OK 1257 100 
OK 1258 100 
OK 1259 100 
OK 1260 100 
OK 1261 100 
OK 1262 100 
OK 1263 100 
OK 1264 100 
OK 1265 100 
OK 1266 100 
OK 1267 100 
OK 1268 100 
OK 1269 100 
OK 1270 100 
OK 1271 100 
OK 1272 100 
OK 1273 100 
OK 1274 100 
OK 1275 100 
OK 1276 100 
OK 1277 100 
OK 1278 100 
OK 1279 100 
OK 1280 100 
OK 1281 100 
OK 1282 100 
OK 1283 100 
OK 1284 100 
OK 1285 100 
OK 1286 100 
OK 1287 100 
OK 1288 100 
OK 1289 100 
OK 1290 100 
OK 1291 100 
OK 1292 100 
OK 1293 100 
OK 1294 100 
OK 1295 100 
OK 1296 100 
OK 1297 100 
OK 1298 100 
OK 1299 100 
OK 1300 100 
OK 1301 100 
OK 1302 100 
OK 1303 100 
OK 1304 100 
OK 1305 100 
OK 1306 100 
OK 1307 100 
OK 1308 100 
OK 1309 100 
OK 1310 100 
OK 1311 100 
OK 1312 100 
OK 1313 100 
OK 1314 100 
OK 1315 100 
OK 1316 100 
OK 1317 100 
OK 1318 100 
OK 1319 100 
OK 1320 100 
OK 1321 100 
OK 1322 100 
OK 1323 100 
OK 1324 100 
OK 1325 100 
OK 1326 100 
OK 1327 100 
OK 1328 100 
OK 1329 100 
OK 1330 100 
OK 1331 100 
OK 1332 100 
OK 1333 100 
OK 1334 100 
OK 1335 100 
OK 1336 100 
OK 1337 100 
OK 1338 100 
OK 1339 100 
OK 1340 100 
OK 1341 100 
OK 1342 100 
OK 1343 100 
OK 1344 100 
OK 1345 100 
OK 1346 100 
OK 1347 100 
OK 1348 100 
OK 1349 100 
OK 1350 100 
OK 1351 100 
OK 1352 100 
OK 1353 100 
OK 1354 100 
OK 1355 100 
OK 1356 100 
OK 1357 100 
OK 1358 100 
OK 1359 100 
OK 1360 100 
OK 1361 100 
OK 1362 100 
OK 1363 100 
OK 1364 100 
OK 1365 100 
OK 1366 100 
OK 1367 100 
OK 1368 100 
OK 1369 100 
OK 1370 100 
OK 1371 100 
