110983     2342.41     2315.03     4656.8     218.755     233.276     452.031     
110985     2338.57     2309.77     4647.6     218.814     233.745     452.559     
110987     2334.32     2305.64     4639.38     218.584     233.701     452.285     
111006     2372.74     2310.2     4682.23     217.518     232.718     450.236     
111008     2365.62     2306.8     4671.43     217.13     232.411     449.541     
111023     2371.73     2308.9     4679.09     218.961     232.618     451.579     
111025     2365.65     2300.29     4664.95     219.791     232.796     452.587     
111029     2361.73     2296.24     4656.79     219.6     232.758     452.358     
111033     2353.58     2293.55     4646.5     218.991     232.954     451.946     
111359     2324.39     2277.78     4600.9     212.043     222.266     434.309     
111362     2321.59     2274.11     4594.45     211.887     221.735     433.622     
111364     2322.14     2274.76     4595.25     211.611     221.875     433.485     
111396     2286.21     2253.87     4538.44     211.742     221.362     433.104     
111402     2276.61     2242.39     4517.45     212.51     222.326     434.836     
111406     2269.95     2233.44     4501.9     213.982     223.268     437.25     
111413     2268.72     2233.61     4501.17     212.354     221.921     434.276     
111421     2268.8     2230.8     4498.24     212.496     222.17     434.666     
111423     2271.19     2228.6     4499.1     212.612     222.608     435.22     
111425     2261.11     2222.21     4482.82     213.602     223.222     436.824     
111436     2258.78     2216.93     4475.12     213.047     223.282     436.329     
111468     2328.61     2277.77     4603.96     213.118     223.059     436.177     
111483     2312.56     2267.49     4579.05     214.93     224.799     439.729     
111485     2313.06     2269.13     4580.99     213.423     223.514     436.937     
111494     2310.21     2262.48     4572.07     213.643     223.718     437.362     
111495     2302.42     2259.67     4561.31     214.68     224.956     439.637     
111497     2308.44     2262.24     4569.91     213.837     224.097     437.934     
111498     2298.16     2256.87     4553.84     214.916     225.196     440.112     
111500     2303.43     2262.16     4565.16     213.072     223.022     436.094     
111530     2316.29     2257.48     4572.02     214.122     223.769     437.891     
111532     2315.48     2256.52     4570.64     213.958     223.634     437.592     
111535     2309.66     2250.15     4558.92     214.041     223.825     437.866     
111538     2306.46     2245.97     4551.42     214.126     224.104     438.23     
111544     2298.92     2248.63     4546.59     214.212     223.948     438.16     
111555     2307.06     2268.91     4574.11     213.862     223.666     437.528     
111556     2305.56     2267.28     4570.38     214.398     223.939     438.337     
111558     2295.57     2260.81     4554.44     213.805     223.826     437.632     
111559     2297.45     2259.8     4556.2     214.003     223.357     437.36     
111562     2286.9     2253.71     4539.44     216.154     226.129     442.282     
111583     2335.69     2277.67     4610.45     213.553     222.318     435.871     
111603     2310.67     2250.41     4560.14     214.522     223.836     438.358     
111604     2310.2     2249.45     4558.75     214.294     223.057     437.352     
111687     2307.43     2258.56     4563.8     196.819     212.765     409.584     
111688     2302     2248.85     4550.14     197.541     213.57     411.111     
111695     2296.29     2249.43     4543.94     197.945     213.926     411.871     
111697     2296.51     2242.1     4537.08     197.906     213.64     411.546     
111699     2297.63     2243.85     4540.76     199.216     214.414     413.63     
111701     2286.64     2235.31     4521.17     199.08     214.69     413.77     
111826     2290.43     2250.86     4539.85     206.373     220.275     426.648     
111830     2280.71     2244.87     4524.21     202.939     216.746     419.685     
111831     2271.39     2236.68     4506.73     204.233     217.899     422.132     
111836     2273.3     2235.43     4508.05     204.573     218.219     422.791     
111893     2296.15     2246.76     4540.84     203.378     217.821     421.199     
112318     2325.48     2252.22     4575.99     209.167     220.572     429.739     
112320     2316.34     2232.06     4546.52     208.535     220.226     428.761     
112323     2286.22     2215.08     4500.47     208.463     220.01     428.474     
112403     2273.82     2230.22     4501.78     209.24     222.147     431.388     
112411     2261.13     2224.96     4484.44     208.27     221.584     429.854     
112475     2266.32     2219.18     4484.34     207.951     220.893     428.843     
112476     2266.28     2211.75     4476.65     208.228     221.255     429.483     
112480     2264.49     2212.87     4475.84     208.815     221.771     430.586     
112482     2262.24     2210.75     4472.05     208.43     220.886     429.316     
112527     2284.97     2227.06     4511.65     208.322     221.391     429.713     
112657     2269.75     2233.26     4500.7     208.191     220.583     428.774     
112660     2264.35     2224.92     4487.34     207.662     220.193     427.855     
112661     2257.22     2218.55     4474.5     207.786     220.026     427.812     
112666     2253.94     2211.14     4464.25     207.744     219.999     427.743     
113105     2277.51     2264.92     4540.94     210.535     222.98     433.515     
113106     2274.65     2267.27     4539.99     208.618     221.224     429.842     
113108     2273.68     2259.56     4532.4     209.35     221.734     431.084     
113194     2261.59     2254.17     4515.16     209.192     222.757     431.949     
113198     2253.7     2242.94     4495.77     211.01     223.18     434.19     
113201     2256.27     2244.75     4500.1     208.672     220.812     429.484     
113202     2247.73     2240.53     4487.48     210.704     223.012     433.716     
113204     2245.92     2239.32     4484.65     210.497     222.556     433.053     
113208     2247.15     2241.21     4487.48     209.868     221.988     431.856     
113232     2274.62     2265.53     4539.52     210.73     224.255     434.985     
113284     2257.06     2253.91     4509.9     210.789     224.51     435.298     
