6.48  3.774429247716753E-6 3.257771028109772E-6 3.987703597559397E-7 4.537145310359920E-8 9.796117337516630E-7 2.802921715838883E-7
6.76  2.754856243575170E-6 2.372858169913903E-6 2.892142018456775E-7 3.062088035405524E-8 7.281925040160973E-7 2.015519253882339E-7
7.04  2.041023485708692E-6 1.738729061040765E-6 2.161815605854836E-7 2.144216889583427E-8 5.495246845366855E-7 1.479318609390482E-7
7.32  1.526244830187375E-6 1.294222736035247E-6 1.643982266084464E-7 1.534960192753007E-8 4.146679542304665E-7 1.097969781391068E-7
7.60  1.150040813891144E-6 9.591901108974623E-7 1.257815165921939E-7 1.126684364913857E-8 3.184441787554042E-7 8.297139677348495E-8
7.88  8.787052325387154E-7 7.271272575582795E-7 9.691641178325114E-8 8.388419644828046E-9 2.458991817980428E-7 6.361752453999972E-8
8.16  6.755153841530143E-7 5.512988173790520E-7 7.555704723500088E-8 6.316714067227193E-9 1.925741166643788E-7 4.884747826233209E-8
8.44  5.231644678344522E-7 4.255422298129680E-7 5.940066886224278E-8 4.847726263571178E-9 1.503848925513774E-7 3.781425908896882E-8
8.72  4.072266370267642E-7 3.264502353128693E-7 4.679775735258045E-8 3.694634319529470E-9 1.191832038686856E-7 2.949111652736389E-8
9.0  3.198628798501641E-7 2.552530418468454E-7 3.718666079299132E-8 2.857306426955321E-9 9.537665734417186E-8 2.312180885844268E-8
9.28  2.536073361309915E-7 1.999075903403316E-7 2.984324158181224E-8 2.223660806728302E-9 7.610536896903357E-8 1.834970053237120E-8
9.56  2.011690485513626E-7 1.561261114948627E-7 2.366588598241485E-8 1.738563643115076E-9 6.122901678625723E-8 1.446821954044431E-8
9.84  1.602005103482538E-7 1.241750785837872E-7 1.924011105762041E-8 1.345626055035067E-9 4.940771783917851E-8 1.161283902404465E-8
10.12  1.295702342907313E-7 9.929130651842858E-8 1.564913837976450E-8 1.073742248039553E-9 4.026392934901612E-8 9.334642685928370E-9
10.4  1.050558310640662E-7 7.936989270690905E-8 1.276626752935533E-8 8.566737238527908E-10 3.303960770669716E-8 7.540248052826735E-9
10.68  8.586658159023687E-8 6.376320710499177E-8 1.043400449785468E-8 6.864422495103862E-10 2.691628825591534E-8 6.120908924340135E-9
10.96  6.991261389694901E-8 5.168445274417090E-8 8.603055842331733E-9 5.512189337465416E-10 2.244387426336252E-8 4.964353191019532E-9
11.24  5.711648005827126E-8 4.205152321715337E-8 7.095356814590635E-9 4.434356342558568E-10 1.849185180901329E-8 4.051957824851061E-9
11.52  4.719260706305141E-8 3.424111517967286E-8 5.840474184968811E-9 3.571773976976799E-10 1.538145948161476E-8 3.330824115244234E-9
11.8  3.892722627265098E-8 2.812896059893320E-8 4.848733936382681E-9 2.892625457487982E-10 1.277038327592883E-8 2.740448742987100E-9
12.08  3.251568382620414E-8 2.304016068031935E-8 4.035186963147408E-9 2.348000117413871E-10 1.064840405788603E-8 2.269444544616002E-9
12.36  2.685578548201951E-8 1.902236546332394E-8 3.380259058946914E-9 1.933221918765515E-10 8.956312370175840E-9 1.875830451108275E-9
12.64  2.235167715404660E-8 1.565645252547833E-8 2.830799242502644E-9 1.580615628092562E-10 7.544677193002148E-9 1.556273762140483E-9
12.92  1.881147804601427E-8 1.302307850343781E-8 2.376057751587093E-9 1.296403678509139E-10 6.360599955856904E-9 1.295275131205114E-9
